n,stopping_time,max_excursion_log,odd_even_ratio,entropy,compression_ratio,excursion_normalized,up_down_ratio,variance_log,peak_late,omega,steps
8319,88.0,5.453790607803249,0.48333333333333334,0.9219957030944405,6.757693617912982,34.17574227671595,0.48333333333333334,1.4668792879439962,0.14606741573033707,STABLE,88
16515,190.0,5.281026545814859,0.5528455284552846,0.9437212746306922,13.560300069829186,11.565001513775355,0.5528455284552846,0.9952246181885488,0.225130890052356,STABLE,190
49284,158.0,4.692714760890481,0.5288461538461539,0.9360186160699067,10.13546125259459,1.0,0.5288461538461539,0.7990537459312417,0.0,STABLE,158
32900,116.0,4.517209098189543,0.5,0.9266067073697131,7.730344285681571,1.0,0.5,0.8616088290225822,0.0,STABLE,116
24707,113.0,5.046046200405753,0.5,0.9268190639645772,7.743633791526024,4.500101185898733,0.5,0.8947427686238856,0.02631578947368421,STABLE,113
32902,116.0,4.86942534842377,0.5,0.9266067073697131,7.730299107100991,2.2500759832229043,0.5,0.9198943542828284,0.03418803418803419,STABLE,116
32906,41.0,4.693383949446634,0.3125,0.8296071030882031,2.73222895819173,1.5000303895946028,0.3125,1.5017040417894771,0.047619047619047616,STABLE,41
142,103.0,3.965342835560622,0.5522388059701493,0.9470622432515328,14.406103919258,65.01408450704226,0.5522388059701493,0.6211633828954021,0.6634615384615384,STABLE,103
41102,75.0,5.471727254281126,0.4339622641509434,0.8997437586982626,4.893350733522763,7.208797625419687,0.4339622641509434,2.430861229375769,0.3026315789473684,STABLE,75
24719,157.0,5.603089134647177,0.5339805825242718,0.9379626436434423,10.758337562794244,16.220235446417735,0.5339805825242718,1.4677454847943812,0.17088607594936708,STABLE,157
24721,95.0,4.898818391361433,0.47692307692307695,0.9182958340544896,6.509770024576283,3.20440111645969,0.47692307692307695,1.7127596677237882,0.19791666666666666,STABLE,95
41106,75.0,5.22192778402015,0.4339622641509434,0.8997437586982626,4.893305910835273,4.055271736486158,0.4339622641509434,2.284794347835549,0.3815789473684211,STABLE,75
41107,75.0,5.267136513909279,0.4339622641509434,0.8997437586982626,4.893294705973205,4.5000608168925,0.4339622641509434,2.3672463846296585,0.039473684210526314,STABLE,75
32914,266.0,5.989183196502892,0.5705882352941176,0.948373124740065,17.725754101377646,29.634805857689738,0.5705882352941176,1.5389300378851862,0.31086142322097376,STABLE,266
16533,159.0,4.695490432339068,0.5384615384615384,0.9395263129669762,11.346557400429134,3.000060485090425,0.5384615384615384,0.6289291795275137,0.00625,STABLE,159
8342,127.0,4.2735336801512975,0.5238095238095238,0.9354557645575772,9.749598380289918,2.250299688324143,0.5238095238095238,0.6760433421520943,0.03125,STABLE,127
