q,n_start,steps_to_graph,on_graph
1102,72261151,0,True
1103,72326687,0,True
1104,72392223,0,True
1105,72457759,0,True
1106,72523295,0,True
1107,72588831,0,True
1108,72654367,0,True
1109,72719903,0,True
1110,72785439,0,True
1111,72850975,0,True
1112,72916511,0,True
1113,72982047,0,True
1114,73047583,0,True
1115,73113119,0,True
1116,73178655,0,True
1117,73244191,0,True
1118,73309727,0,True
1119,73375263,0,True
1120,73440799,0,True
1121,73506335,0,True
1122,73571871,0,True
1123,73637407,0,True
1124,73702943,0,True
1125,73768479,0,True
1126,73834015,0,True
1127,73899551,0,True
1128,73965087,0,True
1129,74030623,0,True
1130,74096159,0,True
1131,74161695,0,True
1132,74227231,0,True
1133,74292767,0,True
1134,74358303,0,True
1135,74423839,0,True
1136,74489375,0,True
1137,74554911,0,True
1138,74620447,0,True
1139,74685983,0,True
1140,74751519,0,True
1141,74817055,0,True
1142,74882591,0,True
1143,74948127,0,True
1144,75013663,0,True
1145,75079199,0,True
1146,75144735,0,True
1147,75210271,0,True
1148,75275807,0,True
1149,75341343,0,True
1150,75406879,0,True
1151,75472415,0,True
1152,75537951,0,True
1153,75603487,0,True
1154,75669023,0,True
1155,75734559,0,True
1156,75800095,0,True
1157,75865631,0,True
1158,75931167,0,True
1159,75996703,0,True
1160,76062239,0,True
1161,76127775,0,True
1162,76193311,0,True
1163,76258847,0,True
1164,76324383,0,True
1165,76389919,0,True
1166,76455455,0,True
1167,76520991,0,True
1168,76586527,0,True
1169,76652063,0,True
1170,76717599,0,True
1171,76783135,0,True
1172,76848671,0,True
1173,76914207,0,True
1174,76979743,0,True
1175,77045279,0,True
1176,77110815,0,True
1177,77176351,0,True
1178,77241887,0,True
1179,77307423,0,True
1180,77372959,0,True
1181,77438495,0,True
1182,77504031,0,True
1183,77569567,0,True
1184,77635103,0,True
1185,77700639,0,True
1186,77766175,0,True
1187,77831711,0,True
1188,77897247,0,True
1189,77962783,0,True
1190,78028319,0,True
1191,78093855,0,True
1192,78159391,0,True
1193,78224927,0,True
1194,78290463,0,True
1195,78355999,0,True
1196,78421535,0,True
1197,78487071,0,True
1198,78552607,0,True
1199,78618143,0,True
1200,78683679,0,True
1201,78749215,0,True
1202,78814751,0,True
1203,78880287,0,True
1204,78945823,0,True
1205,79011359,0,True
1206,79076895,0,True
1207,79142431,0,True
1208,79207967,0,True
1209,79273503,0,True
1210,79339039,0,True
1211,79404575,0,True
1212,79470111,0,True
1213,79535647,0,True
1214,79601183,0,True
1215,79666719,0,True
1216,79732255,0,True
1217,79797791,0,True
1218,79863327,0,True
1219,79928863,0,True
1220,79994399,0,True
1221,80059935,0,True
1222,80125471,0,True
1223,80191007,0,True
1224,80256543,0,True
1225,80322079,0,True
1226,80387615,0,True
1227,80453151,0,True
1228,80518687,0,True
1229,80584223,0,True
1230,80649759,0,True
1231,80715295,0,True
1232,80780831,0,True
1233,80846367,0,True
1234,80911903,0,True
1235,80977439,0,True
1236,81042975,0,True
1237,81108511,0,True
1238,81174047,0,True
1239,81239583,0,True
1240,81305119,0,True
1241,81370655,0,True
1242,81436191,0,True
1243,81501727,0,True
1244,81567263,0,True
1245,81632799,0,True
1246,81698335,0,True
1247,81763871,0,True
1248,81829407,0,True
1249,81894943,0,True
1250,81960479,0,True
1251,82026015,0,True
1252,82091551,0,True
1253,82157087,0,True
1254,82222623,0,True
1255,82288159,0,True
1256,82353695,0,True
1257,82419231,0,True
1258,82484767,0,True
1259,82550303,0,True
1260,82615839,0,True
1261,82681375,0,True
1262,82746911,0,True
1263,82812447,0,True
1264,82877983,0,True
1265,82943519,0,True
1266,83009055,0,True
1267,83074591,0,True
1268,83140127,0,True
1269,83205663,0,True
1270,83271199,0,True
1271,83336735,0,True
1272,83402271,0,True
1273,83467807,0,True
1274,83533343,0,True
1275,83598879,0,True
1276,83664415,0,True
1277,83729951,0,True
1278,83795487,0,True
1279,83861023,0,True
1280,83926559,0,True
1281,83992095,0,True
1282,84057631,0,True
1283,84123167,0,True
1284,84188703,0,True
1285,84254239,0,True
1286,84319775,0,True
1287,84385311,0,True
1288,84450847,0,True
1289,84516383,0,True
1290,84581919,0,True
1291,84647455,0,True
1292,84712991,0,True
1293,84778527,0,True
1294,84844063,0,True
1295,84909599,0,True
1296,84975135,0,True
1297,85040671,0,True
1298,85106207,0,True
1299,85171743,0,True
1300,85237279,0,True
1301,85302815,0,True
1302,85368351,0,True
1303,85433887,0,True
1304,85499423,0,True
1305,85564959,0,True
1306,85630495,0,True
1307,85696031,0,True
1308,85761567,0,True
1309,85827103,0,True
1310,85892639,0,True
1311,85958175,0,True
1312,86023711,0,True
1313,86089247,0,True
1314,86154783,0,True
1315,86220319,0,True
1316,86285855,0,True
1317,86351391,0,True
1318,86416927,0,True
1319,86482463,0,True
1320,86547999,0,True
1321,86613535,0,True
1322,86679071,0,True
1323,86744607,0,True
1324,86810143,0,True
1325,86875679,0,True
1326,86941215,0,True
1327,87006751,0,True
1328,87072287,0,True
1329,87137823,0,True
1330,87203359,0,True
1331,87268895,0,True
1332,87334431,0,True
1333,87399967,0,True
1334,87465503,0,True
1335,87531039,0,True
1336,87596575,0,True
1337,87662111,0,True
1338,87727647,0,True
1339,87793183,0,True
1340,87858719,0,True
1341,87924255,0,True
1342,87989791,0,True
1343,88055327,0,True
1344,88120863,0,True
1345,88186399,0,True
1346,88251935,0,True
1347,88317471,0,True
1348,88383007,0,True
1349,88448543,0,True
1350,88514079,0,True
1351,88579615,0,True
1352,88645151,0,True
1353,88710687,0,True
