r,v,initial_rank,n_start,escaped,escape_steps,final_rank
554,1,15,554,True,1,14
554,1,15,66090,True,114,14
554,1,15,131626,True,1,14
556,2,41,556,True,1,40
556,2,41,66092,True,26,40
556,2,41,131628,True,1,40
558,1,41,558,True,1,40
558,1,41,66094,True,26,40
558,1,41,131630,True,1,40
560,3,15,560,True,1,14
560,3,15,66096,True,114,14
560,3,15,131632,True,1,14
562,1,41,562,True,1,40
562,1,41,66098,True,26,40
562,1,41,131634,True,1,40
564,2,15,564,True,1,14
564,2,15,66100,True,114,14
564,2,15,131636,True,1,14
566,1,59,566,True,1,58
566,1,59,66102,True,3,57
566,1,59,131638,True,1,58
568,3,103,568,True,1,102
568,3,103,66104,True,57,102
568,3,103,131640,True,1,102
570,1,103,570,True,1,102
570,1,103,66106,True,1,66
570,1,103,131642,True,1,102
572,2,103,572,True,1,102
572,2,103,66108,True,1,80
572,2,103,131644,True,1,102
574,1,41,574,True,1,40
574,1,41,66110,True,1,37
574,1,41,131646,True,1,40
576,3,23,576,True,1,22
576,3,23,66112,True,137,22
576,3,23,131648,True,1,22
578,1,28,578,True,1,27
578,1,28,66114,True,163,27
578,1,28,131650,True,1,27
580,2,116,580,True,1,115
580,2,116,66116,True,23,115
580,2,116,131652,True,1,115
582,1,116,582,True,1,115
582,1,116,66118,True,1,97
582,1,116,131654,True,1,115
584,3,116,584,True,1,115
584,3,116,66120,True,23,115
584,3,116,131656,True,1,115
586,1,116,586,True,1,115
586,1,116,66122,True,1,97
586,1,116,131658,True,1,115
588,2,116,588,True,1,115
588,2,116,66124,True,23,115
588,2,116,131660,True,1,115
590,1,54,590,True,1,53
590,1,54,66126,True,1,37
590,1,54,131662,True,1,53
592,3,23,592,True,1,22
592,3,23,66128,True,137,22
592,3,23,131664,True,1,22
594,1,72,594,True,1,71
594,1,72,66130,True,3,71
594,1,72,131666,True,1,71
596,2,23,596,True,1,22
596,2,23,66132,True,137,22
596,2,23,131668,True,1,22
598,1,116,598,True,1,115
598,1,116,66134,True,1,97
598,1,116,131670,True,1,115
600,3,15,600,True,1,14
600,3,15,66136,True,114,14
600,3,15,131672,True,1,14
602,1,15,602,True,1,14
602,1,15,66138,True,114,14
602,1,15,131674,True,1,14
604,2,15,604,True,1,14
604,2,15,66140,True,114,14
604,2,15,131676,True,1,14
606,1,41,606,True,1,40
606,1,41,66142,True,42,39
606,1,41,131678,True,1,40
608,3,23,608,True,1,22
608,3,23,66144,True,137,22
608,3,23,131680,True,1,22
610,1,36,610,True,1,35
610,1,36,66146,True,3,34
610,1,36,131682,True,1,35
612,2,36,612,True,1,35
612,2,36,66148,True,5,35
612,2,36,131684,True,1,35
614,1,36,614,True,1,35
614,1,36,66150,True,3,34
614,1,36,131686,True,1,35
616,3,23,616,True,1,22
616,3,23,66152,True,137,22
616,3,23,131688,True,1,22
618,1,23,618,True,1,22
618,1,23,66154,True,137,22
618,1,23,131690,True,1,22
620,2,85,620,True,1,84
620,2,85,66156,True,11,52
620,2,85,131692,True,1,84
622,1,85,622,True,1,84
622,1,85,66158,True,7,68
622,1,85,131694,True,1,84
624,3,36,624,True,1,35
624,3,36,66160,True,62,35
624,3,36,131696,True,1,35
626,1,129,626,True,1,128
626,1,129,66162,True,3,70
626,1,129,131698,True,1,128
628,2,36,628,True,1,35
628,2,36,66164,True,62,35
628,2,36,131700,True,1,35
630,1,36,630,True,1,35
630,1,36,66166,True,62,35
630,1,36,131702,True,1,35
