r,v
4828,2
4830,1
4832,3
4834,1
4836,2
4838,1
4840,3
4842,1
4844,2
4846,1
4848,3
4850,1
4852,2
4854,1
4856,3
4858,1
4860,2
4862,1
4864,3
4866,1
4868,2
4870,1
4872,3
4874,1
4876,2
4878,1
4880,3
4882,1
4884,2
4886,1
4888,3
4890,1
4892,2
4894,1
4896,3
4898,1
4900,2
4902,1
4904,3
4906,1
4908,2
4910,1
4912,3
4914,1
4916,2
4918,1
4920,3
4922,1
4924,2
4926,1
4928,3
4930,1
4932,2
4934,1
4936,3
4938,1
4940,2
4942,1
4944,3
4946,1
4948,2
4950,1
4952,3
4954,1
4956,2
4958,1
4960,3
4962,1
4964,2
4966,1
4968,3
4970,1
4972,2
4974,1
4976,3
4978,1
4980,2
4982,1
4984,3
4986,1
4988,2
4990,1
4992,3
4994,1
4996,2
4998,1
5000,3
5002,1
5004,2
5006,1
5008,3
5010,1
5012,2
5014,1
5016,3
5018,1
5020,2
5022,1
5024,3
5026,1
5028,2
5030,1
5032,3
5034,1
5036,2
5038,1
5040,3
5042,1
5044,2
5046,1
5048,3
5050,1
5052,2
5054,1
5056,3
5058,1
5060,2
5062,1
5064,3
5066,1
5068,2
5070,1
5072,3
5074,1
5076,2
5078,1
5080,3
5082,1
5084,2
5086,1
5088,3
5090,1
5092,2
5094,1
5096,3
5098,1
5100,2
5102,1
5104,3
5106,1
5108,2
5110,1
5112,3
5114,1
5116,2
5118,1
5120,3
5122,1
5124,2
5126,1
5128,3
5130,1
5132,2
5134,1
5136,3
5138,1
5140,2
5142,1
5144,3
5146,1
5148,2
5150,1
5152,3
5154,1
5156,2
5158,1
5160,3
5162,1
5164,2
5166,1
5168,3
5170,1
5172,2
5174,1
5176,3
5178,1
5180,2
5182,1
5184,3
5186,1
5188,2
5190,1
5192,3
5194,1
5196,2
5198,1
5200,3
5202,1
5204,2
5206,1
5208,3
5210,1
5212,2
5214,1
5216,3
5218,1
5220,2
5222,1
5224,3
5226,1
5228,2
5230,1
5232,3
5234,1
5236,2
5238,1
5240,3
5242,1
5244,2
5246,1
5248,3
5250,1
5252,2
5254,1
5256,3
5258,1
5260,2
5262,1
5264,3
5266,1
5268,2
5270,1
5272,3
5274,1
5276,2
5278,1
5280,3
5282,1
5284,2
5286,1
5288,3
5290,1
5292,2
5294,1
5296,3
5298,1
5300,2
5302,1
5304,3
5306,1
5308,2
5310,1
5312,3
5314,1
5316,2
5318,1
5320,3
5322,1
5324,2
5326,1
5328,3
5330,1
5332,2
5334,1
5336,3
5338,1
5340,2
5342,1
5344,3
5346,1
5348,2
5350,1
5352,3
5354,1
5356,2
5358,1
5360,3
5362,1
5364,2
5366,1
5368,3
5370,1
5372,2
5374,1
5376,3
5378,1
5380,2
5382,1
5384,3
5386,1
5388,2
5390,1
5392,3
5394,1
5396,2
5398,1
5400,3
5402,1
5404,2
